CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2163905	11139000	16.27	13302905
2	2271	7624	22.95	9895
3	2071	13596	13.22	15667
4	84889	656334	11.45	741223
5	84341	568529	12.92	652870
6	110225	689254	13.79	799479
7	89696	540071	14.24	629767
8	117264	758652	13.39	875916
9	118587	743927	13.75	862514
10	119522	777017	13.33	896539
11	111610	733329	13.21	844939
12	113027	771835	12.77	884862
13	120089	860406	12.25	980495
14	101914	736215	12.16	838129
15	108863	725338	13.05	834201
16	113692	787046	12.62	900738
17	108406	797613	11.97	906019
18	107539	747215	12.58	854754
19	114554	773332	12.90	887886
20	106033	736170	12.59	842203
21	109422	754932	12.66	864354
22	110536	747171	12.89	857707
23	105198	752275	12.27	857473
24	109901	739374	12.94	849275
25	110969	747184	12.93	858153
26	110502	746448	12.89	856950
27	108601	764439	12.44	873040
28	109077	795122	12.06	904199
29	112037	765078	12.77	877115
30	104737	804800	11.52	909537
31	105894	742466	12.48	848360
32	107837	744973	12.64	852810
33	105179	775802	11.94	880981
34	104820	701121	13.01	805941
35	110785	759039	12.74	869824
36	104954	724704	12.65	829658
37	108825	783494	12.20	892319
38	109617	767832	12.49	877449
39	100358	721333	12.21	821691
40	111563	772130	12.62	883693
41	101655	778707	11.55	880362
42	103574	697193	12.93	800767
43	103130	700376	12.84	803506
44	94359	687368	12.07	781727
45	98212	716197	12.06	814409
46	98045	698379	12.31	796424
47	102693	690666	12.94	793359
48	100706	651516	13.39	752222
49	98197	686257	12.52	784454
50	87708	638736	12.07	726444
51	90507	672296	11.87	762803
52	93737	668174	12.30	761911
53	95261	682431	12.25	777692
54	95228	659064	12.62	754292
55	101966	711863	12.53	813829
56	93242	644177	12.64	737419
57	91876	668347	12.09	760223
58	97909	669545	12.76	767454
59	90424	629652	12.56	720076
60	90634	648086	12.27	738720
61	93794	652661	12.57	746455
62	87387	670709	11.53	758096
63	94947	702955	11.90	797902
64	92059	633099	12.70	725158
65	94201	647946	12.69	742147
66	86612	632176	12.05	718788
67	87677	625704	12.29	713381
68	92968	635512	12.76	728480
69	87579	664364	11.65	751943
70	86250	623407	12.15	709657
71	85325	600436	12.44	685761
72	83899	582486	12.59	666385
73	83841	588790	12.46	672631
74	86512	648315	11.77	734827
75	83965	597533	12.32	681498
76	83223	590628	12.35	673851
77	79668	572062	12.22	651730
78	83578	573369	12.72	656947
79	80192	607433	11.66	687625
80	77066	548360	12.32	625426
81	80090	575864	12.21	655954
82	78631	550411	12.50	629042
83	79059	583886	11.93	662945
84	78852	551728	12.50	630580
85	79965	556825	12.56	636790
86	80493	578619	12.21	659112
87	75624	632820	10.67	708444
88	77415	561880	12.11	639295
89	74310	626795	10.60	701105
90	78050	551978	12.39	630028
91	76898	539377	12.48	616275
92	76644	550753	12.22	627397
93	73716	515304	12.52	589020
94	74701	524219	12.47	598920
95	69219	499993	12.16	569212
96	71042	500762	12.42	571804
97	68292	501359	11.99	569651
98	47647	353856	11.87	401503
99	68307	521823	11.57	590130
100	68565	559605	10.92	628170

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	43331	215678	16.73	259009
2	144	10339	1.37	10483
3	191	15747	1.20	15938
4	5402	481077	1.11	486479
5	3840	392157	0.97	395997
6	4476	415383	1.07	419859
7	4892	511131	0.95	516023
8	4900	568221	0.85	573121
9	5381	569641	0.94	575022
10	5941	634532	0.93	640473
11	5402	573164	0.93	578566
12	4917	556318	0.88	561235
13	5464	598382	0.90	603846
14	5057	561496	0.89	566553
15	5481	593865	0.91	599346
16	5228	605138	0.86	610366
17	5607	607619	0.91	613226
18	5898	630203	0.93	636101
19	5588	606718	0.91	612306
20	4897	576686	0.84	581583
21	6052	665257	0.90	671309
22	5161	567849	0.90	573010
23	4957	552120	0.89	557077
24	4830	576164	0.83	580994
25	4830	559685	0.86	564515
26	5993	633005	0.94	638998
27	5640	579824	0.96	585464
28	4711	574074	0.81	578785
29	5429	637600	0.84	643029
30	5576	622343	0.89	627919
31	5421	615904	0.87	621325
32	5295	609723	0.86	615018
33	4855	563401	0.85	568256
34	5316	572597	0.92	577913
35	5165	552560	0.93	557725
36	4980	584529	0.84	589509
37	5869	641778	0.91	647647
38	5127	602015	0.84	607142
39	5274	603369	0.87	608643
40	6046	629474	0.95	635520
41	5035	556632	0.90	561667
42	5514	592399	0.92	597913
43	5408	594303	0.90	599711
44	5016	555307	0.90	560323
45	5891	585979	1.00	591870
46	5459	581242	0.93	586701
47	5271	577935	0.90	583206
48	7157	607674	1.16	614831
49	4745	538021	0.87	542766
50	5084	557837	0.90	562921
51	4944	548280	0.89	553224
52	6044	623419	0.96	629463
53	5058	546796	0.92	551854
54	5016	554757	0.90	559773
55	5519	571933	0.96	577452
56	4782	522979	0.91	527761
57	4920	556349	0.88	561269
58	5275	555183	0.94	560458
59	4535	508421	0.88	512956
60	4905	552374	0.88	557279
61	5111	562910	0.90	568021
62	5379	560304	0.95	565683
63	5180	556683	0.92	561863
64	5211	583583	0.89	588794
65	4755	524618	0.90	529373
66	5113	529477	0.96	534590
67	5247	549264	0.95	554511
68	5101	554212	0.91	559313
69	5033	535487	0.93	540520
70	4783	527409	0.90	532192
71	5360	545216	0.97	550576
72	4743	528757	0.89	533500
73	4919	540079	0.90	544998
74	5190	542757	0.95	547947
75	4681	506818	0.92	511499
76	4824	508174	0.94	512998
77	4649	525622	0.88	530271
78	4373	494851	0.88	499224
79	4537	522234	0.86	526771
80	5232	569041	0.91	574273
81	4611	491427	0.93	496038
82	4597	511217	0.89	515814
83	4431	495195	0.89	499626
84	5366	500760	1.06	506126
85	4395	488758	0.89	493153
86	4780	556923	0.85	561703
87	4239	493884	0.85	498123
88	4547	485729	0.93	490276
89	4188	466895	0.89	471083
90	4459	473293	0.93	477752
91	5272	535578	0.97	540850
92	4340	494063	0.87	498403
93	5013	518302	0.96	523315
94	4072	461273	0.88	465345
95	4282	460291	0.92	464573
96	4321	492592	0.87	496913
97	4682	496404	0.93	501086
98	2464	292745	0.83	295209
99	2624	317776	0.82	320400
100	4352	443111	0.97	447463

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	5006	104500	4.57	109506
2	757	43727	1.70	44484
3	742	56129	1.30	56871
4	19610	1674864	1.16	1694474
5	14599	1525473	0.95	1540072
6	17420	1752062	0.98	1769482
7	17706	1806145	0.97	1823851
8	18060	1855900	0.96	1873960
9	15725	1650342	0.94	1666067
10	16871	1734971	0.96	1751842
11	16745	1754803	0.95	1771548
12	16087	1683699	0.95	1699786
13	16113	1790316	0.89	1806429
14	16342	1728730	0.94	1745072
15	16214	1734495	0.93	1750709
16	16311	1824888	0.89	1841199
17	16440	1741054	0.94	1757494
18	15735	1722794	0.91	1738529
19	15727	1759655	0.89	1775382
20	16293	1731306	0.93	1747599
21	15633	1726970	0.90	1742603
22	15439	1685426	0.91	1700865
23	15495	1676448	0.92	1691943
24	15470	1667491	0.92	1682961
25	16413	1754425	0.93	1770838
26	16396	1710712	0.95	1727108
27	17420	1687219	1.02	1704639
28	15232	1714971	0.88	1730203
