CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1829096	8726290	17.33	10555386
2	276	1404	16.43	1680
3	274	1804	13.19	2078
4	89227	628742	12.43	717969
5	76484	492254	13.45	568738
6	89841	530252	14.49	620093
7	89655	513499	14.86	603154
8	97558	609685	13.79	707243
9	99118	574352	14.72	673470
10	103253	611398	14.45	714651
11	96873	575356	14.41	672229
12	99056	603207	14.11	702263
13	105458	658649	13.80	764107
14	86520	571787	13.14	658307
15	95521	566890	14.42	662411
16	98484	607598	13.95	706082
17	92528	616167	13.06	708695
18	93275	577778	13.90	671053
19	98110	606365	13.93	704475
20	90518	572966	13.64	663484
21	93289	581594	13.82	674883
22	95132	578893	14.11	674025
23	91023	588143	13.40	679166
24	93771	572887	14.07	666658
25	97203	585753	14.23	682956
26	94423	575243	14.10	669666
27	94371	589417	13.80	683788
28	93355	618584	13.11	711939
29	97045	593451	14.05	690496
30	90770	600199	13.14	690969
31	91201	577298	13.64	668499
32	91438	570222	13.82	661660
33	89412	583121	13.29	672533
34	90360	544567	14.23	634927
35	94560	585005	13.91	679565
36	91430	561229	14.01	652659
37	93439	605370	13.37	698809
38	93914	569401	14.16	663315
39	86235	557005	13.41	643240
40	95126	588481	13.92	683607
41	86395	582070	12.92	668465
42	88974	538606	14.18	627580
43	90127	541895	14.26	632022
44	80739	527115	13.28	607854
45	84995	564608	13.08	649603
46	85604	537368	13.74	622972
47	89030	529888	14.38	618918
48	86682	509416	14.54	596098
49	85393	531402	13.84	616795
50	76548	500652	13.26	577200
51	77368	520693	12.94	598061
52	80982	521190	13.45	602172
53	80968	533797	13.17	614765
54	82899	511899	13.94	594798
55	86922	557763	13.48	644685
56	80029	504275	13.70	584304
57	78760	521392	13.12	600152
58	83931	520838	13.88	604769
59	79348	490230	13.93	569578
60	78282	505388	13.41	583670
61	79038	508094	13.46	587132
62	75580	531343	12.45	606923
63	82175	529046	13.44	611221
64	78197	491837	13.72	570034
65	80670	501906	13.85	582576
66	75721	489324	13.40	565045
67	75984	480993	13.64	556977
68	79893	498159	13.82	578052
69	75356	523282	12.59	598638
70	74244	490908	13.14	565152
71	72740	471118	13.37	543858
72	72691	459507	13.66	532198
73	73399	468531	13.54	541930
74	75669	511069	12.90	586738
75	72161	474335	13.20	546496
76	71196	463987	13.30	535183
77	68506	453770	13.12	522276
78	71368	447557	13.75	518925
79	70266	469323	13.02	539589
80	67018	435606	13.33	502624
81	68634	448805	13.26	517439
82	68030	437257	13.46	505287
83	69010	463919	12.95	532929
84	68927	434648	13.69	503575
85	68517	440354	13.46	508871
86	69045	457108	13.12	526153
87	65643	478030	12.07	543673
88	66873	442845	13.12	509718
89	65289	477741	12.02	543030
90	66709	437853	13.22	504562
91	67319	432480	13.47	499799
92	65958	438563	13.07	504521
93	62935	410170	13.30	473105
94	64551	417444	13.39	481995
95	61410	401714	13.26	463124
96	61525	403443	13.23	464968
97	59230	390817	13.16	450047
98	42803	285936	13.02	328739
99	60182	411018	12.77	471200
100	59798	443096	11.89	502894

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	35847	150668	19.22	186515
2	36	1402	2.50	1438
3	25	1777	1.39	1802
