CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1567216	9873992	13.70	11441208
2	1334	2780	32.43	4114
3	999	9024	9.97	10023
4	50473	633701	7.38	684174
5	54569	496907	9.90	551476
6	87956	623784	12.36	711740
7	68681	499388	12.09	568069
8	86562	724278	10.68	810840
9	88791	642741	12.14	731532
10	93982	753658	11.09	847640
11	79062	640673	10.98	719735
12	85940	690194	11.07	776134
13	89475	826446	9.77	915921
14	77993	663921	10.51	741914
15	82004	657889	11.08	739893
16	80814	704615	10.29	785429
17	83072	732002	10.19	815074
18	79720	644256	11.01	723976
19	87024	698319	11.08	785343
20	82758	641612	11.42	724370
21	81767	737319	9.98	819086
22	80600	660176	10.88	740776
23	76129	677591	10.10	753720
24	83579	661681	11.21	745260
25	83802	675203	11.04	759005
26	85204	677386	11.17	762590
27	82321	697002	10.56	779323
28	82415	724575	10.21	806990
29	84228	678158	11.05	762386
30	76113	650870	10.47	726983
31	78474	657264	10.67	735738
32	83696	682015	10.93	765711
33	76987	642257	10.70	719244
34	79572	629372	11.22	708944
35	85006	650332	11.56	735338
36	75660	624168	10.81	699828
37	79700	675409	10.55	755109
38	85670	632007	11.94	717677
39	74382	628885	10.58	703267
40	89191	669034	11.76	758225
41	77801	645407	10.76	723208
42	78553	629215	11.10	707768
43	81270	630201	11.42	711471
44	74897	635073	10.55	709970
45	74411	642888	10.37	717299
46	76180	673723	10.16	749903
47	79583	645145	10.98	724728
48	80045	602431	11.73	682476
49	78093	645224	10.80	723317
50	69753	578024	10.77	647777
51	74615	640155	10.44	714770
52	72987	609864	10.69	682851
53	73765	618000	10.66	691765
54	78314	593873	11.65	672187
55	83269	620002	11.84	703271
56	77839	604863	11.40	682702
57	73448	658432	10.04	731880
58	78495	615942	11.30	694437
59	74347	580609	11.35	654956
60	71773	585643	10.92	657416
61	75106	622278	10.77	697384
62	69785	622580	10.08	692365
63	76038	618994	10.94	695032
64	73044	569398	11.37	642442
65	78106	616372	11.25	694478
66	70581	566965	11.07	637546
67	69600	596964	10.44	666564
68	76263	590008	11.45	666271
69	69099	625425	9.95	694524
70	67440	594190	10.19	661630
71	71116	561322	11.24	632438
72	68164	544903	11.12	613067
73	69236	543059	11.31	612295
74	73197	608146	10.74	681343
75	67833	581226	10.45	649059
76	66954	535666	11.11	602620
77	64542	546259	10.57	610801
78	68875	539480	11.32	608355
79	66935	573457	10.45	640392
80	63214	522235	10.80	585449
81	66466	554818	10.70	621284
82	65485	525756	11.08	591241
83	63393	561429	10.15	624822
84	66340	523173	11.25	589513
85	67203	530516	11.24	597719
86	68226	551900	11.00	620126
87	64175	545087	10.53	609262
88	64835	511109	11.26	575944
89	63226	544690	10.40	607916
90	64953	547223	10.61	612176
91	64101	514734	11.07	578835
92	65298	538020	10.82	603318
93	60047	494819	10.82	554866
94	65530	536344	10.89	601874
95	60414	493336	10.91	553750
96	62735	466231	11.86	528966
97	61121	535272	10.25	596393
98	40449	325773	11.04	366222
99	57709	517288	10.04	574997
100	57537	509661	10.14	567198

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	42262	212830	16.57	255092
2	155	4449	3.37	4604
3	273	10890	2.45	11163
4	3975	395927	0.99	399902
5	3051	336565	0.90	339616
6	3915	367107	1.06	371022
7	3837	436519	0.87	440356
8	4584	478952	0.95	483536
9	4352	473185	0.91	477537
10	5023	543528	0.92	548551
11	4631	485954	0.94	490585
12	4011	460130	0.86	464141
13	4515	513881	0.87	518396
14	4171	476632	0.87	480803
15	4496	519833	0.86	524329
16	4489	525168	0.85	529657
17	4331	526300	0.82	530631
18	4841	539681	0.89	544522
19	5033	537692	0.93	542725
20	3961	496540	0.79	500501
21	4594	518398	0.88	522992
22	4357	484426	0.89	488783
23	4029	468953	0.85	472982
24	4203	504068	0.83	508271
25	3752	468955	0.79	472707
26	4697	494651	0.94	499348
27	4831	473411	1.01	478242
28	4144	487152	0.84	491296
29	4015	503877	0.79	507892
30	4418	526773	0.83	531191
31	4714	537537	0.87	542251
32	4338	528571	0.81	532909
33	4300	537717	0.79	542017
34	4106	474316	0.86	478422
35	4217	472112	0.89	476329
36	4192	490745	0.85	494937
37	4888	555229	0.87	560117
38	4891	552581	0.88	557472
39	4306	513070	0.83	517376
40	4989	555206	0.89	560195
41	4035	476426	0.84	480461
42	4435	507917	0.87	512352
43	4824	521515	0.92	526339
44	3913	475560	0.82	479473
45	4919	512318	0.95	517237
46	4240	489016	0.86	493256
47	4558	501249	0.90	505807
48	6220	537411	1.14	543631
49	3798	455979	0.83	459777
50	4390	481861	0.90	486251
51	3993	456966	0.87	460959
52	4195	495100	0.84	499295
53	4206	494783	0.84	498989
54	4013	468181	0.85	472194
55	4276	487498	0.87	491774
56	3852	451137	0.85	454989
57	4204	481860	0.86	486064
58	4693	484748	0.96	489441
59	3877	452786	0.85	456663
60	4001	453050	0.88	457051
61	4365	481715	0.90	486080
62	4189	485070	0.86	489259
63	4126	473852	0.86	477978
64	4271	526113	0.81	530384
65	4035	452305	0.88	456340
66	4300	452377	0.94	456677
67	4550	499957	0.90	504507
68	4434	477709	0.92	482143
69	4185	468578	0.89	472763
70	3882	461066	0.83	464948
71	4355	466132	0.93	470487
72	4040	454183	0.88	458223
73	4320	483692	0.89	488012
74	4326	482186	0.89	486512
75	3933	433010	0.90	436943
76	4064	458543	0.88	462607
77	4213	462063	0.90	466276
78	3525	415702	0.84	419227
79	4141	457863	0.90	462004
80	4090	448791	0.90	452881
81	3841	430461	0.88	434302
82	4027	447368	0.89	451395
83	4018	447636	0.89	451654
84	4972	460804	1.07	465776
85	3995	460743	0.86	464738
86	3749	454775	0.82	458524
87	3737	430796	0.86	434533
88	3910	433633	0.89	437543
89	3647	422458	0.86	426105
90	3618	418919	0.86	422537
91	4752	517885	0.91	522637
92	3666	436498	0.83	440164
93	4748	498415	0.94	503163
94	3652	417310	0.87	420962
95	3264	402957	0.80	406221
96	4238	489120	0.86	493358
97	3407	379708	0.89	383115
98	2131	288092	0.73	290223
99	2183	278675	0.78	280858
100	3773	409212	0.91	412985

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	5539	71263	7.21	76802
2	821	25147	3.16	25968
3	1194	40974	2.83	42168
4	15451	1365066	1.12	1380517
5	11678	1242907	0.93	1254585
6	15040	1548844	0.96	1563884
7	14833	1555493	0.94	1570326
8	15192	1626032	0.93	1641224
9	13763	1431858	0.95	1445621
10	13576	1482003	0.91	1495579
11	13434	1480446	0.90	1493880
12	13681	1486119	0.91	1499800
13	13197	1516414	0.86	1529611
14	13967	1482778	0.93	1496745
15	13444	1466534	0.91	1479978
16	13714	1558652	0.87	1572366
17	13615	1474149	0.92	1487764
18	13232	1490419	0.88	1503651
19	13863	1543988	0.89	1557851
20	13515	1508222	0.89	1521737
21	12675	1482340	0.85	1495015
22	12779	1475790	0.86	1488569
23	13532	1487119	0.90	1500651
