CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	953804	5369271	15.08	6323075
2	526	1407	27.21	1933
3	459	4512	9.23	4971
4	38661	330015	10.49	368676
5	34786	256597	11.94	291383
6	50613	342119	12.89	392732
7	38462	252531	13.22	290993
8	52096	399798	11.53	451894
9	52740	342829	13.33	395569
10	57497	420477	12.03	477974
11	47944	336628	12.47	384572
12	50182	373795	11.84	423977
13	53340	448624	10.63	501964
14	47235	363215	11.51	410450
15	50076	360967	12.18	411043
16	48147	375002	11.38	423149
17	53094	410196	11.46	463290
18	46990	353906	11.72	400896
19	56015	393581	12.46	449596
20	53208	365387	12.71	418595
21	50694	392399	11.44	443093
22	49889	363130	12.08	413019
23	48108	370980	11.48	419088
24	51535	365127	12.37	416662
25	48922	359386	11.98	408308
26	52032	372091	12.27	424123
27	49268	369272	11.77	418540
28	53315	399586	11.77	452901
29	48566	360063	11.89	408629
30	45293	354757	11.32	400050
31	47492	358037	11.71	405529
32	54941	378882	12.66	433823
33	46953	357082	11.62	404035
34	49561	343975	12.59	393536
35	48744	362725	11.85	411469
36	47386	334392	12.41	381778
37	48135	372701	11.44	420836
38	49939	341788	12.75	391727
39	45615	359764	11.25	405379
40	56340	377189	13.00	433529
41	46048	350227	11.62	396275
42	47233	338284	12.25	385517
43	47928	328809	12.72	376737
44	43051	352526	10.88	395577
45	43693	339028	11.42	382721
46	46153	364361	11.24	410514
47	49880	361589	12.12	411469
48	45952	312788	12.81	358740
49	49937	357245	12.26	407182
50	40369	312214	11.45	352583
51	44639	352127	11.25	396766
52	42353	327755	11.44	370108
53	42421	328283	11.44	370704
54	45264	312316	12.66	357580
55	52814	343058	13.34	395872
56	45242	329010	12.09	374252
57	42481	358231	10.60	400712
58	49460	337506	12.78	386966
59	44741	316016	12.40	360757
60	44682	323360	12.14	368042
61	46889	327393	12.53	374282
62	42199	328344	11.39	370543
63	45640	331191	12.11	376831
64	47786	318143	13.06	365929
65	43973	327620	11.83	371593
66	41833	306897	12.00	348730
67	44251	337010	11.61	381261
68	44154	315629	12.27	359783
69	40473	343504	10.54	383977
70	40227	319617	11.18	359844
71	43758	310563	12.35	354321
72	39607	291110	11.98	330717
73	39614	289165	12.05	328779
74	44281	339667	11.53	383948
75	39605	315179	11.16	354784
76	38912	290927	11.80	329839
77	37137	287417	11.44	324554
78	40019	297705	11.85	337724
79	40186	303472	11.69	343658
80	39535	290432	11.98	329967
81	39645	304219	11.53	343864
82	39705	286027	12.19	325732
83	38051	310830	10.91	348881
84	40099	286925	12.26	327024
85	40715	291815	12.24	332530
86	41855	307151	11.99	349006
87	37088	298626	11.05	335714
88	36910	278980	11.68	315890
89	35686	299540	10.65	335226
90	37152	294590	11.20	331742
91	37411	276064	11.93	313475
92	40757	302986	11.86	343743
93	35403	268971	11.63	304374
94	39594	289193	12.04	328787
95	37057	264647	12.28	301704
96	35341	254953	12.17	290294
97	38519	292702	11.63	331221
98	22583	176888	11.32	199471
99	32088	267744	10.70	299832
100	33653	275032	10.90	308685

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	27082	118370	18.62	145452
2	70	2786	2.45	2856
3	107	4797	2.18	4904
4	2567	211602	1.20	214169
5	1975	191770	1.02	193745
6	2069	200084	1.02	202153
7	2522	236929	1.05	239451
8	2686	265023	1.00	267709
9	2656	256950	1.02	259606
10	3012	298342	1.00	301354
11	2609	268818	0.96	271427
12	2263	253439	0.89	255702
13	2633	290138	0.90	292771
14	2424	268205	0.90	270629
15	2833	301601	0.93	304434
16	2640	290464	0.90	293104
17	2775	299271	0.92	302046
18	2728	291478	0.93	294206
19	2828	302600	0.93	305428
20	2564	267357	0.95	269921
21	2613	279026	0.93	281639
22	3002	272260	1.09	275262
23	2192	256025	0.85	258217
24	2352	283094	0.82	285446
25	2366	261719	0.90	264085
26	2764	278496	0.98	281260
27	2794	261848	1.06	264642
28	2447	267953	0.90	270400
29	2351	278416	0.84	280767
30	2591	290947	0.88	293538
31	2517	291657	0.86	294174
32	2652	289589	0.91	292241
33	2936	318973	0.91	321909
34	2510	261747	0.95	264257
35	2376	253851	0.93	256227
36	2210	259453	0.84	261663
37	2734	301237	0.90	303971
38	2775	313587	0.88	316362
39	2417	280753	0.85	283170
40	2995	317606	0.93	320601
41	2477	274230	0.90	276707
42	2438	274921	0.88	277359
43	2696	297362	0.90	300058
44	2423	282116	0.85	284539
45	2921	276720	1.04	279641
46	2531	273719	0.92	276250
47	2370	272384	0.86	274754
48	3517	293039	1.19	296556
49	2122	250070	0.84	252192
50	2464	262666	0.93	265130
51	2306	256149	0.89	258455
52	2437	289238	0.84	291675
53	2747	273319	1.00	276066
54	2459	263883	0.92	266342
55	2740	280643	0.97	283383
56	2178	251725	0.86	253903
57	2366	262255	0.89	264621
58	2554	260213	0.97	262767
59	2192	239014	0.91	241206
60	2394	256574	0.92	258968
61	2598	268025	0.96	270623
62	2490	269163	0.92	271653
63	2568	271968	0.94	274536
64	2486	281126	0.88	283612
65	2091	246112	0.84	248203
66	2289	246505	0.92	248794
67	2914	299336	0.96	302250
68	2395	260982	0.91	263377
69	2622	260590	1.00	263212
70	2355	253635	0.92	255990
71	2510	263369	0.94	265879
72	2266	243937	0.92	246203
73	2302	263236	0.87	265538
74	2920	278433	1.04	281353
75	2160	232979	0.92	235139
76	2241	246546	0.90	248787
77	2309	251012	0.91	253321
78	1906	227549	0.83	229455
79	2340	257083	0.90	259423
80	2334	251500	0.92	253834
81	2180	231656	0.93	233836
82	2174	246702	0.87	248876
83	2229	250247	0.88	252476
84	3506	278435	1.24	281941
85	2196	248625	0.88	250821
