CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	754078	4284199	14.97	5038277
2	3683	8924	29.21	12607
3	3145	16902	15.69	20047
4	36190	333098	9.80	369288
5	32003	256512	11.09	288515
6	42347	286034	12.90	328381
7	36968	262642	12.34	299610
8	42593	336648	11.23	379241
9	43373	294035	12.85	337408
10	46153	351088	11.62	397241
11	40981	296607	12.14	337588
12	43568	324040	11.85	367608
13	44319	371418	10.66	415737
14	39207	305632	11.37	344839
15	41978	307338	12.02	349316
16	41321	327143	11.21	368464
17	42745	340336	11.16	383081
18	40197	301671	11.76	341868
19	45124	334246	11.89	379370
20	41727	302502	12.12	344229
21	41867	333834	11.14	375701
22	41259	308359	11.80	349618
23	40125	321400	11.10	361525
24	40739	305667	11.76	346406
25	41653	315562	11.66	357215
26	42244	312192	11.92	354436
27	41309	316444	11.55	357753
28	43151	340234	11.26	383385
29	41327	312738	11.67	354065
30	37870	304824	11.05	342694
31	40167	300256	11.80	340423
32	43478	314552	12.14	358030
33	39462	304688	11.47	344150
34	39435	287512	12.06	326947
35	41385	304962	11.95	346347
36	39152	285991	12.04	325143
37	40661	316385	11.39	357046
38	42085	294376	12.51	336461
39	38089	297167	11.36	335256
40	44732	306287	12.74	351019
41	37239	297881	11.11	335120
42	38274	285117	11.84	323391
43	40726	292593	12.22	333319
44	36141	288006	11.15	324147
45	37335	306126	10.87	343461
46	38298	307338	11.08	345636
47	39958	295910	11.90	335868
48	38223	271989	12.32	310212
49	39196	297151	11.65	336347
50	34254	268381	11.32	302635
51	35686	285904	11.10	321590
52	35560	277907	11.34	313467
53	36178	281641	11.38	317819
54	36720	269539	11.99	306259
55	41248	291341	12.40	332589
56	36595	268984	11.98	305579
57	34818	296940	10.49	331758
58	38445	279314	12.10	317759
59	35059	260912	11.85	295971
60	35475	267890	11.69	303365
61	36568	275765	11.71	312333
62	34342	281371	10.88	315713
63	36918	279688	11.66	316606
64	36217	258117	12.30	294334
65	36596	275812	11.71	312408
66	34683	252617	12.07	287300
67	34516	269144	11.37	303660
68	35382	264318	11.81	299700
69	33984	284944	10.66	318928
70	32546	259410	11.15	291956
71	34575	250729	12.12	285304
72	32524	242193	11.84	274717
73	32634	244567	11.77	277201
74	34088	274728	11.04	308816
75	31924	252610	11.22	284534
76	31583	240286	11.62	271869
77	30699	236635	11.48	267334
78	32349	241716	11.80	274065
79	32005	253934	11.19	285939
80	30155	231468	11.53	261623
81	31370	243694	11.40	275064
82	31558	231619	11.99	263177
83	30405	249109	10.88	279514
84	31666	230156	12.09	261822
85	32095	234382	12.04	266477
86	32632	246827	11.68	279459
87	29917	243783	10.93	273700
88	30089	225597	11.77	255686
89	29559	241846	10.89	271405
90	29830	235278	11.25	265108
91	30325	226045	11.83	256370
92	30920	234383	11.65	265303
93	28116	213904	11.62	242020
94	30749	234904	11.57	265653
95	28386	210618	11.88	239004
96	28079	203041	12.15	231120
97	28321	227974	11.05	256295
98	18201	141668	11.38	159869
99	25746	219573	10.49	245319
100	26615	227147	10.49	253762

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	20694	108607	16.00	129301
2	491	15996	2.98	16487
3	487	21575	2.21	22062
4	2535	219477	1.14	222012
5	1838	171386	1.06	173224
6	2018	192682	1.04	194700
7	2087	219442	0.94	221529
8	2220	223312	0.98	225532
9	2403	233169	1.02	235572
10	2527	264485	0.95	267012
11	2330	231129	1.00	233459
12	2057	222802	0.91	224859
