CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1693609	7819526	17.80	9513135
2	2574	10173	20.19	12747
3	2518	15075	14.31	17593
4	80710	545500	12.89	626210
5	72661	450564	13.89	523225
6	89970	496247	15.35	586217
7	81529	465155	14.91	546684
8	92652	559809	14.20	652461
9	96216	552532	14.83	648748
10	97072	577942	14.38	675014
11	91791	543398	14.45	635189
12	91357	555236	14.13	646593
13	100671	637066	13.65	737737
14	85232	556864	13.27	642096
15	90810	540114	14.39	630924
16	94217	590066	13.77	684283
17	89193	572187	13.49	661380
18	88740	538792	14.14	627532
19	93514	564058	14.22	657572
20	87676	544177	13.88	631853
21	90720	569360	13.74	660080
22	92046	555700	14.21	647746
23	86088	553605	13.46	639693
24	90929	541497	14.38	632426
25	92464	549221	14.41	641685
26	91060	553928	14.12	644988
27	89192	559180	13.76	648372
28	90374	573024	13.62	663398
29	91335	568663	13.84	659998
30	85467	590360	12.65	675827
31	87467	554240	13.63	641707
32	88747	551451	13.86	640198
33	85499	566047	13.12	651546
34	87224	524586	14.26	611810
35	90342	543733	14.25	634075
36	85832	530652	13.92	616484
37	88388	581196	13.20	669584
38	90672	560771	13.92	651443
39	81953	531811	13.35	613764
40	90674	545397	14.26	636071
41	82569	567226	12.71	649795
42	83208	513577	13.94	596785
43	86160	530642	13.97	616802
44	76473	501464	13.23	577937
45	81615	524838	13.46	606453
46	82345	527885	13.49	610230
47	83617	507464	14.15	591081
48	81644	479329	14.55	560973
49	82408	503661	14.06	586069
50	73320	476008	13.35	549328
51	73380	509571	12.59	582951
52	77233	483910	13.76	561143
53	77093	502676	13.30	579769
54	77608	483516	13.83	561124
55	83574	507134	14.15	590708
56	75886	473297	13.82	549183
57	74899	504267	12.93	579166
58	78963	488983	13.90	567946
59	74930	467448	13.82	542378
60	73701	476956	13.38	550657
61	75459	487553	13.40	563012
62	71625	485552	12.85	557177
63	77348	508063	13.21	585411
64	74522	453642	14.11	528164
65	75158	484909	13.42	560067
66	69864	451274	13.41	521138
67	71072	446189	13.74	517261
68	74628	462885	13.88	537513
69	70778	476301	12.94	547079
70	68437	450725	13.18	519162
71	67433	431624	13.51	499057
72	66945	419309	13.77	486254
73	67031	428294	13.53	495325
74	70291	463347	13.17	533638
75	66549	425428	13.53	491977
76	66119	417486	13.67	483605
77	62670	409296	13.28	471966
78	66406	406343	14.05	472749
79	65933	447404	12.84	513337
80	60799	396063	13.31	456862
81	62278	418662	12.95	480940
82	62185	390197	13.75	452382
83	62833	426561	12.84	489394
84	63070	392878	13.83	455948
85	64235	395604	13.97	459839
86	63894	414967	13.34	478861
87	60797	444757	12.03	505554
88	60948	390568	13.50	451516
89	58992	439955	11.82	498947
90	60154	389592	13.38	449746
91	60073	379676	13.66	439749
92	59998	382455	13.56	442453
93	57514	361273	13.73	418787
94	58125	375248	13.41	433373
95	53812	349793	13.33	403605
96	54952	345398	13.73	400350
97	53214	338234	13.59	391448
98	36647	242156	13.14	278803
99	53799	373631	12.59	427430
100	53217	400666	11.72	453883

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	39053	164499	19.19	203552
2	178	11966	1.47	12144
3	213	15525	1.35	15738
4	4787	406199	1.16	410986
5	2656	310924	0.85	313580
6	3477	345197	1.00	348674
7	3666	401162	0.91	404828
8	4022	419392	0.95	423414
9	4212	428714	0.97	432926
10	4292	468909	0.91	473201
11	3859	428746	0.89	432605
12	3760	419591	0.89	423351
13	3850	451415	0.85	455265
14	3716	410773	0.90	414489
15	4160	443750	0.93	447910
16	3877	437112	0.88	440989
17	3983	451999	0.87	455982
18	4274	472627	0.90	476901
19	4237	437899	0.96	442136
20	3928	429605	0.91	433533
21	4348	486558	0.89	490906
22	4128	425560	0.96	429688
23	3540	418087	0.84	421627
24	3654	435266	0.83	438920
25	3573	408523	0.87	412096
26	4488	466302	0.95	470790
27	4345	427692	1.01	432037
28	3871	429728	0.89	433599
29	3967	467093	0.84	471060
30	4171	457064	0.90	461235
31	4158	462810	0.89	466968
32	4069	442363	0.91	446432
33	3904	415688	0.93	419592
34	3820	426738	0.89	430558
35	3853	422478	0.90	426331
36	3917	436005	0.89	439922
37	4423	478908	0.92	483331
38	4064	433047	0.93	437111
39	3830	443864	0.86	447694
40	4197	455488	0.91	459685
41	3590	411329	0.87	414919
42	3863	438464	0.87	442327
43	4297	445707	0.95	450004
44	3821	412736	0.92	416557
45	4370	438381	0.99	442751
46	4210	434760	0.96	438970
47	4270	437492	0.97	441762
48	5607	470190	1.18	475797
49	3665	406051	0.89	409716
50	4077	420767	0.96	424844
51	3897	411208	0.94	415105
52	4386	459486	0.95	463872
53	4035	410614	0.97	414649
54	3832	417193	0.91	421025
55	3989	425510	0.93	429499
56	3589	392104	0.91	395693
57	3832	411153	0.92	414985
58	3823	410536	0.92	414359
59	3458	380279	0.90	383737
60	3873	414528	0.93	418401
61	4141	420280	0.98	424421
62	3983	414176	0.95	418159
63	3932	408233	0.95	412165
64	4072	460217	0.88	464289
65	3672	398066	0.91	401738
66	4076	388224	1.04	392300
67	3885	403141	0.95	407026
68	3954	414634	0.94	418588
69	3702	396288	0.93	399990
70	3546	389710	0.90	393256
71	4016	405846	0.98	409862
72	3640	386606	0.93	390246
73	3770	410895	0.91	414665
74	3781	379729	0.99	383510
75	3622	374691	0.96	378313
76	3672	386887	0.94	390559
77	3550	384748	0.91	388298
78	3359	359090	0.93	362449
79	3569	380895	0.93	384464
80	3911	408853	0.95	412764
81	3357	357843	0.93	361200
82	3446	372175	0.92	375621
83	3354	359171	0.93	362525
84	3764	361618	1.03	365382
85	3251	357591	0.90	360842
86	3429	390081	0.87	393510
87	3199	354235	0.89	357434
88	3384	352037	0.95	355421
89	3249	337416	0.95	340665
90	3281	347085	0.94	350366
91	3461	369431	0.93	372892
92	3204	358252	0.89	361456
93	3964	391350	1.00	395314
94	3218	338003	0.94	341221
95	3017	333371	0.90	336388
96	3404	358118	0.94	361522
97	3438	343265	0.99	346703
98	1746	215771	0.80	217517
99	2018	239837	0.83	241855
100	3196	315522	1.00	318718

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	4260	83321	4.86	87581
2	723	43127	1.65	43850
3	776	51660	1.48	52436
4	15569	1265188	1.22	1280757
5	11109	1096328	1.00	1107437
6	12356	1245579	0.98	1257935
7	12520	1313745	0.94	1326265
8	12984	1338511	0.96	1351495
9	11892	1223037	0.96	1234929
10	12400	1246632	0.98	1259032
11	12303	1285611	0.95	1297914
12	11549	1236143	0.93	1247692
13	11848	1287788	0.91	1299636
14	11733	1252757	0.93	1264490
15	11579	1260858	0.91	1272437
16	12011	1300080	0.92	1312091
17	11794	1261254	0.93	1273048
18	10753	1231971	0.87	1242724
19	11723	1293425	0.90	1305148
20	12050	1271543	0.94	1283593
21	11421	1264120	0.90	1275541
22	11556	1232074	0.93	1243630
23	11476	1214540	0.94	1226016
24	11444	1221426	0.93	1232870
25	11969	1256428	0.94	1268397
26	12487	1243712	0.99	1256199
27	12870	1220735	1.04	1233605
28	11407	1251031	0.90	1262438
29	11308	1217829	0.92	1229137
30	11555	1272701	0.90	1284256
31	12451	1274652	0.97	1287103
32	11590	1242542	0.92	1254132
33	11201	1249031	0.89	1260232
34	12170	1294242	0.93	1306412
35	11605	1278851	0.90	1290456
36	11438	1295683	0.88	1307121
37	11527	1270725	0.90	1282252
38	11227	1245556	0.89	1256783
39	10968	1228840	0.88	1239808
40	10890	1209016	0.89	1219906
41	10686	1201228	0.88	1211914
42	11795	1257839	0.93	1269634
43	11375	1238852	0.91	1250227
44	11132	1204906	0.92	1216038
45	10948	1193211	0.91	1204159
46	10610	1191217	0.88	1201827
47	10864	1188571	0.91	1199435
48	13262	1192139	1.10	1205401
49	11069	1206768	0.91	1217837
50	10456	1159755	0.89	1170211
51	10913	1249556	0.87	1260469
52	10971	1209244	0.90	1220215
53	10702	1124073	0.94	1134775
54	10545	1157235	0.90	1167780
55	10001	1152556	0.86	1162557
56	10769	1186052	0.90	1196821
57	10274	1187147	0.86	1197421
58	10933	1175738	0.92	1186671
59	10356	1135923	0.90	1146279
60	10358	1130430	0.91	1140788
61	10688	1142978	0.93	1153666
62	10058	1136083	0.88	1146141
63	10266	1132914	0.90	1143180
64	10105	1109350	0.90	1119455
65	10395	1172252	0.88	1182647
66	11245	1141006	0.98	1152251
67	10153	1114633	0.90	1124786
68	9659	1077034	0.89	1086693
69	9722	1088310	0.89	1098032
70	9990	1063777	0.93	1073767
71	10145	1067840	0.94	1077985
72	9542	1049393	0.90	1058935
73	9637	1057993	0.90	1067630
74	9199	1035996	0.88	1045195
75	9953	1121239	0.88	1131192
76	9842	1077000	0.91	1086842
77	9854	1050697	0.93	1060551
78	9325	1031785	0.90	1041110
79	9675	1057416	0.91	1067091
80	9165	1036404	0.88	1045569
81	9669	1063957	0.90	1073626
82	8718	1005710	0.86	1014428
83	9508	1027753	0.92	1037261
84	9457	1054146	0.89	1063603
85	9716	1010964	0.95	1020680
86	9010	1002575	0.89	1011585
87	8663	977095	0.88	985758
88	8934	1000785	0.88	1009719
89	8804	1004275	0.87	1013079
90	8515	961107	0.88	969622
91	8827	1010090	0.87	1018917
92	8698	961763	0.90	970461
93	8585	952227	0.89	960812
94	8521	941626	0.90	950147
95	9161	990383	0.92	999544
96	8510	961061	0.88	969571
