CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1239351	6357479	16.31	7596830
2	697	2584	21.24	3281
3	612	3665	14.31	4277
4	56510	449301	11.17	505811
5	49395	357645	12.14	407040
6	62949	387710	13.97	450659
7	59961	376813	13.73	436774
8	66126	447922	12.86	514048
9	67505	428567	13.61	496072
10	70037	457338	13.28	527375
11	65351	426216	13.29	491567
12	65627	438807	13.01	504434
13	70979	496484	12.51	567463
14	59221	431740	12.06	490961
15	64449	427255	13.11	491704
16	65273	458190	12.47	523463
17	63099	450620	12.28	513719
18	61980	426722	12.68	488702
19	67292	444763	13.14	512055
20	62538	424334	12.84	486872
21	63296	444636	12.46	507932
22	64175	435802	12.84	499977
23	60030	436149	12.10	496179
24	63834	425567	13.04	489401
25	65134	433908	13.05	499042
26	65398	435340	13.06	500738
27	63590	439894	12.63	503484
28	63984	447389	12.51	511373
29	64292	446911	12.58	511203
30	59673	451690	11.67	511363
31	62136	433945	12.53	496081
32	61854	427558	12.64	489412
33	61039	433994	12.33	495033
34	61349	408400	13.06	469749
35	64708	429215	13.10	493923
36	60934	416930	12.75	477864
37	62499	452013	12.15	514512
38	63834	428032	12.98	491866
39	58653	415371	12.37	474024
40	65846	432244	13.22	498090
41	58691	435126	11.89	493817
42	59008	408343	12.63	467351
43	61472	411447	13.00	472919
44	54572	393572	12.18	448144
45	58089	413699	12.31	471788
46	59287	411991	12.58	471278
47	60248	398280	13.14	458528
48	59844	380210	13.60	440054
49	58314	394991	12.86	453305
50	53249	374986	12.43	428235
51	51903	397226	11.56	449129
52	55360	383976	12.60	439336
53	56194	398651	12.35	454845
54	56253	383061	12.80	439314
55	60499	403233	13.05	463732
56	54509	377091	12.63	431600
57	53973	394580	12.03	448553
58	56910	389764	12.74	446674
59	54613	371189	12.83	425802
60	52464	379821	12.14	432285
61	55073	388285	12.42	443358
62	51994	387251	11.84	439245
63	55396	397705	12.23	453101
64	53004	361692	12.78	414696
65	54667	381065	12.55	435732
66	52081	360782	12.61	412863
67	52184	356097	12.78	408281
68	54456	372631	12.75	427087
69	50767	381340	11.75	432107
70	49651	362130	12.06	411781
71	50107	349514	12.54	399621
72	49498	339874	12.71	389372
73	49649	347906	12.49	397555
74	51211	371980	12.10	423191
75	48795	349010	12.27	397805
76	48456	338973	12.51	387429
77	46691	334830	12.24	381521
78	48305	330372	12.76	378677
79	47934	353974	11.93	401908
80	44683	322616	12.17	367299
81	47084	337949	12.23	385033
82	46814	320165	12.76	366979
83	46966	346981	11.92	393947
84	46397	319786	12.67	366183
85	47143	323648	12.71	370791
86	46748	336447	12.20	383195
87	45019	352737	11.32	397756
88	45709	318111	12.56	363820
89	44139	353519	11.10	397658
90	45960	318834	12.60	364794
91	45563	313353	12.69	358916
92	45024	313094	12.57	358118
93	42408	301065	12.35	343473
94	43772	307800	12.45	351572
95	42022	289391	12.68	331413
96	42208	288605	12.76	330813
97	39933	278233	12.55	318166
98	27900	201244	12.18	229144
99	40666	303348	11.82	344014
100	40877	325489	11.16	366366

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	28647	123300	18.85	151947
2	48	2741	1.72	2789
3	37	3571	1.03	3608
4	3424	317740	1.07	321164
5	2096	240510	0.86	242606
6	2472	272574	0.90	275046
7	2802	317480	0.87	320282
8	2899	326083	0.88	328982
9	2968	332080	0.89	335048
10	3544	368693	0.95	372237
11	2753	330486	0.83	333239
12	2720	323637	0.83	326357
13	3076	350864	0.87	353940
14	2783	320199	0.86	322982
15	2959	342652	0.86	345611
16	2869	343091	0.83	345960
17	3104	351128	0.88	354232
18	3198	368876	0.86	372074
19	3046	341366	0.88	344412
20	2847	333710	0.85	336557
21	3205	371278	0.86	374483
22	3014	330757	0.90	333771
23	2810	322070	0.86	324880
24	2932	340575	0.85	343507
25	2673	319260	0.83	321933
26	3214	353040	0.90	356254
27	3249	329712	0.98	332961
28	2927	336407	0.86	339334
29	3163	355911	0.88	359074
30	3183	355286	0.89	358469
31	3155	357432	0.87	360587
32	3078	341966	0.89	345044
33	2495	320541	0.77	323036
34	2922	328773	0.88	331695
35	2923	327567	0.88	330490
36	3079	338045	0.90	341124
37	3397	370658	0.91	374055
38	3138	342342	0.91	345480
39	2933	344055	0.85	346988
40	3164	354656	0.88	357820
41	2797	319700	0.87	322497
42	3034	342871	0.88	345905
43	3133	343733	0.90	346866
44	2876	317841	0.90	320717
45	3174	337924	0.93	341098
46	3073	336237	0.91	339310
47	3173	339081	0.93	342254
48	4190	361278	1.15	365468
49	2850	316281	0.89	319131
50	2927	324483	0.89	327410
51	2905	317638	0.91	320543
52	3410	349320	0.97	352730
53	2963	315833	0.93	318796
54	2978	323077	0.91	326055
55	2981	327599	0.90	330580
56	2708	304549	0.88	307257
57	2804	319093	0.87	321897
58	2838	319930	0.88	322768
59	2709	297423	0.90	300132
60	2996	322401	0.92	325397
61	3030	328066	0.92	331096
62	2871	322783	0.88	325654
63	2881	318740	0.90	321621
64	3190	348020	0.91	351210
65	2933	309742	0.94	312675
66	2926	306601	0.95	309527
