CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1583722	8251686	16.10	9835408
2	857	3305	20.59	4162
3	713	4272	14.30	4985
4	69956	570468	10.92	640424
5	62675	460507	11.98	523182
6	80601	499849	13.89	580450
7	74298	480956	13.38	555254
8	85121	576514	12.87	661635
9	85995	556264	13.39	642259
10	90136	591161	13.23	681297
11	82726	553010	13.01	635736
12	84117	567694	12.91	651811
13	90495	642028	12.35	732523
14	76226	562717	11.93	638943
15	82483	550331	13.03	632814
16	84313	597480	12.37	681793
17	80307	585068	12.07	665375
18	79462	549814	12.63	629276
19	85105	574453	12.90	659558
20	80255	550884	12.72	631139
21	80759	577398	12.27	658157
22	81697	561249	12.71	642946
23	77589	567207	12.03	644796
24	81463	548702	12.93	630165
25	82685	561161	12.84	643846
26	82218	560081	12.80	642299
27	81133	568936	12.48	650069
28	81413	583577	12.24	664990
29	83233	578573	12.58	661806
30	77162	585804	11.64	662966
31	78144	558276	12.28	636420
32	79898	554831	12.59	634729
33	77978	563956	12.15	641934
34	78402	532620	12.83	611022
35	82917	556228	12.97	639145
36	77012	540507	12.47	617519
37	80326	583361	12.10	663687
38	81775	555730	12.83	637505
39	74062	538497	12.09	612559
40	83273	557909	12.99	641182
41	75388	564879	11.77	640267
42	76510	527852	12.66	604362
43	79881	531161	13.07	611042
44	69610	510140	12.01	579750
45	74297	535945	12.18	610242
46	75423	535583	12.34	611006
47	76766	515241	12.97	592007
48	77891	495192	13.59	573083
49	74757	513406	12.71	588163
50	67482	486554	12.18	554036
51	67135	515105	11.53	582240
52	70414	497797	12.39	568211
53	71666	516858	12.18	588524
54	72342	496147	12.73	568489
55	77420	520895	12.94	598315
56	71506	490163	12.73	561669
57	68973	514101	11.83	583074
58	72760	507672	12.54	580432
59	69371	481997	12.58	551368
60	68765	489831	12.31	558596
61	70187	502452	12.26	572639
62	65564	503272	11.53	568836
63	71265	516975	12.11	588240
64	68292	469944	12.69	538236
65	71003	495378	12.54	566381
66	65476	469006	12.25	534482
67	67110	463295	12.65	530405
68	70433	481818	12.75	552251
69	65458	493598	11.71	559056
70	64784	471094	12.09	535878
71	64053	456655	12.30	520708
72	64383	439936	12.77	504319
73	63399	451275	12.32	514674
74	65568	484200	11.93	549768
75	63309	452394	12.28	515703
76	62350	440805	12.39	503155
77	59166	436633	11.93	495799
78	62638	430005	12.71	492643
79	61139	461458	11.70	522597
80	58195	417803	12.23	475998
81	59912	437657	12.04	497569
82	59835	416293	12.57	476128
83	59267	449432	11.65	508699
84	60283	417381	12.62	477664
85	60985	422563	12.61	483548
86	60129	438098	12.07	498227
87	58210	459607	11.24	517817
88	58450	414489	12.36	472939
89	56593	459891	10.96	516484
90	57842	416754	12.19	474596
91	57911	406331	12.47	464242
92	57821	408421	12.40	466242
93	54456	391552	12.21	446008
94	56306	399498	12.35	455804
95	53177	378201	12.33	431378
96	53663	376965	12.46	430628
97	51058	362733	12.34	413791
98	35400	262037	11.90	297437
99	51738	395636	11.56	447374
100	51848	422890	10.92	474738

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	36667	161230	18.53	197897
2	41	3367	1.20	3408
3	65	4329	1.48	4394
4	4525	407289	1.10	411814
5	2842	308935	0.91	311777
6	3367	348669	0.96	352036
7	3698	404730	0.91	408428
8	3842	423857	0.90	427699
9	3731	429011	0.86	432742
10	4693	478271	0.97	482964
11	3895	428797	0.90	432692
12	3754	420337	0.89	424091
13	3862	456407	0.84	460269
14	3578	412518	0.86	416096
15	3565	444312	0.80	447877
16	3773	443961	0.84	447734
17	4161	453166	0.91	457327
18	4236	475279	0.88	479515
19	3780	439796	0.85	443576
20	3762	433374	0.86	437136
21	4210	481776	0.87	485986
22	4051	426973	0.94	431024
23	3710	417092	0.88	420802
24	3778	438026	0.86	441804
25	3379	414401	0.81	417780
26	4461	454889	0.97	459350
27	4172	427443	0.97	431615
28	3493	432848	0.80	436341
29	3728	461123	0.80	464851
30	3984	459967	0.86	463951
31	4180	460926	0.90	465106
32	4050	444734	0.90	448784
33	3335	417053	0.79	420388
34	3651	421480	0.86	425131
35	3998	420068	0.94	424066
36	3775	433963	0.86	437738
37	4186	479536	0.87	483722
38	4056	441039	0.91	445095
39	3998	448530	0.88	452528
40	4376	461390	0.94	465766
41	3563	413502	0.85	417065
42	3979	442380	0.89	446359
43	3985	448564	0.88	452549
44	3577	412115	0.86	415692
45	4169	438475	0.94	442644
46	3774	437520	0.86	441294
47	4047	435884	0.92	439931
48	5468	463579	1.17	469047
49	3607	408486	0.88	412093
50	3600	420531	0.85	424131
51	3756	413038	0.90	416794
52	4240	453807	0.93	458047
53	3815	410541	0.92	414356
54	3673	417678	0.87	421351
55	3880	425129	0.90	429009
56	3562	398031	0.89	401593
57	3703	414963	0.88	418666
58	3805	414388	0.91	418193
59	3494	385537	0.90	389031
60	3718	414058	0.89	417776
61	3869	422242	0.91	426111
62	3691	418380	0.87	422071
63	3786	411448	0.91	415234
64	3799	452219	0.83	456018
65	3617	402178	0.89	405795
66	3682	394277	0.93	397959
67	3555	408884	0.86	412439
68	3651	422611	0.86	426262
69	3582	399643	0.89	403225
70	3507	396501	0.88	400008
71	3926	407302	0.95	411228
72	3658	394957	0.92	398615
73	3778	410176	0.91	413954
74	3511	387212	0.90	390723
75	3708	381514	0.96	385222
76	3386	389976	0.86	393362
77	3564	391612	0.90	395176
78	3383	369114	0.91	372497
79	3294	393111	0.83	396405
80	3533	408899	0.86	412432
81	3237	369268	0.87	372505
82	3453	384332	0.89	387785
83	3463	373939	0.92	377402
84	3518	369908	0.94	373426
85	3225	367158	0.87	370383
86	3298	398221	0.82	401519
87	3261	361459	0.89	364720
88	3151	363806	0.86	366957
89	3182	351977	0.90	355159
90	3324	358973	0.92	362297
91	3351	388440	0.86	391791
92	3385	374981	0.89	378366
93	3839	396373	0.96	400212
94	3234	352944	0.91	356178
95	3013	342648	0.87	345661
96	3377	371934	0.90	375311
97	3185	342511	0.92	345696
98	1600	223034	0.71	224634
99	1892	245179	0.77	247071
100	3113	330065	0.93	333178

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	2275	26075	8.02	28350
2	155	12729	1.20	12884
3	187	14760	1.25	14947
4	14512	1270820	1.13	1285332
5	10482	1106463	0.94	1116945
6	11762	1256734	0.93	1268496
7	11963	1329639	0.89	1341602
8	12637	1352010	0.93	1364647
9	11665	1248460	0.93	1260125
10	12189	1265544	0.95	1277733
11	11851	1291769	0.91	1303620
12	11199	1245806	0.89	1257005
13	11950	1316688	0.90	1328638
14	11768	1272829	0.92	1284597
15	11725	1268876	0.92	1280601
16	12030	1326027	0.90	1338057
17	11563	1283421	0.89	1294984
18	11532	1259003	0.91	1270535
19	11530	1305860	0.88	1317390
20	11807	1279573	0.91	1291380
21	11283	1278140	0.88	1289423
22	11444	1248284	0.91	1259728
23	10936	1235059	0.88	1245995
24	11096	1239896	0.89	1250992
25	11606	1269903	0.91	1281509
26	12303	1263379	0.96	1275682
27	12631	1241049	1.01	1253680
28	10989	1272794	0.86	1283783
29	10906	1233599	0.88	1244505
30	10995	1290385	0.84	1301380
31	12476	1291662	0.96	1304138
32	11467	1256729	0.90	1268196
33	10931	1260151	0.86	1271082
34	12020	1307023	0.91	1319043
35	11239	1291552	0.86	1302791
36	11439	1304236	0.87	1315675
37	11340	1286264	0.87	1297604
38	11608	1262719	0.91	1274327
39	10610	1245779	0.84	1256389
40	10744	1228214	0.87	1238958
41	10625	1220263	0.86	1230888
42	11310	1280855	0.88	1292165
43	11270	1244668	0.90	1255938
44	10952	1222053	0.89	1233005
45	10764	1218942	0.88	1229706
46	10607	1213743	0.87	1224350
47	10371	1215995	0.85	1226366
48	13577	1218649	1.10	1232226
49	11322	1227243	0.91	1238565
50	10471	1184213	0.88	1194684
51	10593	1263769	0.83	1274362
52	10883	1223762	0.88	1234645
53	10988	1151647	0.95	1162635
54	10023	1182211	0.84	1192234
55	10305	1183231	0.86	1193536
56	10713	1207310	0.88	1218023
57	10479	1213908	0.86	1224387
58	10949	1210740	0.90	1221689
59	10157	1166432	0.86	1176589
60	10190	1165907	0.87	1176097
61	10593	1172286	0.90	1182879
62	10357	1171240	0.88	1181597
63	10494	1165439	0.89	1175933
64	10650	1151963	0.92	1162613
65	10185	1199021	0.84	1209206
66	11434	1173884	0.96	1185318
67	10310	1159404	0.88	1169714
68	9730	1120039	0.86	1129769
69	9842	1137077	0.86	1146919
70	9961	1111123	0.89	1121084
71	10107	1120822	0.89	1130929
72	9558	1100733	0.86	1110291
73	9778	1109692	0.87	1119470
74	9478	1083636	0.87	1093114
75	9516	1154729	0.82	1164245
76	10194	1127334	0.90	1137528
77	9803	1095477	0.89	1105280
