CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	331972	1754781	15.91	2086753
2	391	1347	22.50	1738
3	382	2240	14.57	2622
4	14348	116690	10.95	131038
5	13174	93884	12.31	107058
6	17182	110113	13.50	127295
7	15222	95645	13.73	110867
8	18401	126143	12.73	144544
9	18887	118070	13.79	136957
10	19068	127285	13.03	146353
11	17476	117097	12.99	134573
12	17799	122762	12.66	140561
13	18691	140896	11.71	159587
14	16573	119738	12.16	136311
15	17190	117760	12.74	134950
16	18019	126824	12.44	144843
17	17739	127306	12.23	145045
18	17033	118032	12.61	135065
19	18121	124388	12.72	142509
20	17084	116875	12.75	133959
21	17079	124604	12.05	141683
22	17272	119636	12.62	136908
23	16690	120929	12.13	137619
24	17340	118116	12.80	135456
25	17500	118843	12.84	136343
26	17626	120345	12.78	137971
27	17311	121652	12.46	138963
28	17415	125763	12.16	143178
29	17731	124963	12.43	142694
30	16510	123195	11.82	139705
31	16756	122498	12.03	139254
32	17112	119766	12.50	136878
33	16270	119389	11.99	135659
34	16787	112647	12.97	129434
35	17756	117980	13.08	135736
36	16442	114303	12.58	130745
37	17324	124748	12.19	142072
38	17138	117495	12.73	134633
39	16103	115939	12.20	132042
40	18000	122307	12.83	140307
41	16071	120322	11.78	136393
42	16164	113446	12.47	129610
43	17060	111026	13.32	128086
44	15041	110300	12.00	125341
45	15687	114707	12.03	130394
46	15929	114889	12.18	130818
47	16575	112279	12.86	128854
48	16258	105295	13.38	121553
49	16060	110373	12.70	126433
50	13974	104871	11.76	118845
51	14714	109357	11.86	124071
52	15171	108786	12.24	123957
53	14934	110678	11.89	125612
54	15308	104893	12.74	120201
55	16480	112324	12.79	128804
56	14924	105240	12.42	120164
57	14717	111803	11.63	126520
58	15730	107586	12.76	123316
59	15242	103363	12.85	118605
60	14580	106705	12.02	121285
61	15184	106779	12.45	121963
62	14040	109471	11.37	123511
63	15129	109299	12.16	124428
64	14731	100626	12.77	115357
65	14790	105621	12.28	120411
66	14318	100751	12.44	115069
67	14273	101290	12.35	115563
68	14881	101325	12.81	116206
69	14104	108025	11.55	122129
70	14059	100393	12.28	114452
71	13831	95949	12.60	109780
72	13648	95024	12.56	108672
73	13571	94776	12.53	108347
74	13995	103602	11.90	117597
75	13405	98924	11.93	112329
76	12893	94557	12.00	107450
77	12968	93578	12.17	106546
78	13510	92095	12.79	105605
79	12977	98938	11.60	111915
80	12639	90383	12.27	103022
81	12565	94207	11.77	106772
82	12537	89638	12.27	102175
83	12712	95972	11.70	108684
84	12978	90371	12.56	103349
85	13454	92480	12.70	105934
86	13011	94832	12.06	107843
87	12691	96729	11.60	109420
88	12268	88898	12.13	101166
89	12125	96685	11.14	108810
90	12404	89735	12.14	102139
91	12389	87246	12.43	99635
92	12357	88647	12.23	101004
93	11751	83124	12.39	94875
94	12005	86013	12.25	98018
95	11498	80868	12.45	92366
96	11326	80778	12.30	92104
97	11076	81072	12.02	92148
98	7807	56290	12.18	64097
99	11289	85447	11.67	96736
100	10918	88614	10.97	99532

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	7756	35143	18.08	42899
2	114	1591	6.69	1705
3	110	2383	4.41	2493
4	976	84878	1.14	85854
5	671	64475	1.03	65146
6	779	70783	1.09	71562
7	755	83794	0.89	84549
8	848	89546	0.94	90394
9	913	89416	1.01	90329
10	1003	101641	0.98	102644
11	1011	90023	1.11	91034
12	834	87838	0.94	88672
13	899	96667	0.92	97566
14	848	86925	0.97	87773
15	858	94822	0.90	95680
16	883	95768	0.91	96651
17	963	97368	0.98	98331
18	998	101740	0.97	102738
19	857	95268	0.89	96125
20	814	90783	0.89	91597
21	946	100263	0.93	101209
22	955	90427	1.05	91382
23	808	87980	0.91	88788
24	793	92501	0.85	93294
25	857	87272	0.97	88129
26	879	97535	0.89	98414
27	974	90018	1.07	90992
28	910	92374	0.98	93284
29	870	96847	0.89	97717
30	1069	100635	1.05	101704
31	949	97984	0.96	98933
32	929	95418	0.96	96347
33	889	90964	0.97	91853
34	739	88953	0.82	89692
35	859	87164	0.98	88023
36	874	92096	0.94	92970
37	997	101464	0.97	102461
38	893	96017	0.92	96910
39	849	95775	0.88	96624
40	916	100014	0.91	100930
41	864	88763	0.96	89627
42	880	92424	0.94	93304
43	881	95252	0.92	96133
44	868	87738	0.98	88606
45	1005	92149	1.08	93154
46	843	91530	0.91	92373
47	862	91701	0.93	92563
48	1203	97758	1.22	98961
49	759	85186	0.88	85945
50	870	89103	0.97	89973
51	794	88032	0.89	88826
52	967	95605	1.00	96572
53	825	88272	0.93	89097
54	908	89822	1.00	90730
55	982	90203	1.08	91185
56	870	84048	1.02	84918
57	843	88233	0.95	89076
58	845	87157	0.96	88002
59	766	81883	0.93	82649
60	832	86904	0.95	87736
61	906	89832	1.00	90738
62	915	89499	1.01	90414
63	871	86255	1.00	87126
64	963	95356	1.00	96319
65	891	82664	1.07	83555
66	924	83512	1.09	84436
67	970	87649	1.09	88619
68	981	88092	1.10	89073
69	852	84996	0.99	85848
70	826	82563	0.99	83389
71	964	86167	1.11	87131
72	894	83065	1.06	83959
73	927	86019	1.07	86946
74	979	85507	1.13	86486
75	782	80450	0.96	81232
76	734	82528	0.88	83262
77	833	84874	0.97	85707
78	742	77679	0.95	78421
79	864	82707	1.03	83571
80	926	85534	1.07	86460
81	758	76963	0.98	77721
82	831	80844	1.02	81675
83	833	79048	1.04	79881
84	940	80611	1.15	81551
85	849	78625	1.07	79474
86	816	84634	0.95	85450
