CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1783748	8682642	17.04	10466390
2	1836	6817	21.22	8653
3	1963	12013	14.05	13976
4	74124	544968	11.97	619092
5	73160	463925	13.62	537085
6	92115	536368	14.66	628483
7	79616	443226	15.23	522842
8	98122	600473	14.05	698595
9	98153	574925	14.58	673078
10	100896	607475	14.24	708371
11	94247	574499	14.09	668746
12	94875	601534	13.62	696409
13	102589	665871	13.35	768460
14	85830	574916	12.99	660746
15	90847	564997	13.85	655844
16	94440	610287	13.40	704727
17	91435	624196	12.78	715631
18	89028	575980	13.39	665008
19	95193	599936	13.69	695129
20	88626	569135	13.47	657761
21	91835	585033	13.57	676868
22	92264	575887	13.81	668151
23	87441	590475	12.90	677916
24	91957	575030	13.79	666987
25	93358	580798	13.85	674156
26	92976	578426	13.85	671402
27	90458	591864	13.26	682322
28	91435	620272	12.85	711707
29	95454	592789	13.87	688243
30	86954	614388	12.40	701342
31	89154	574223	13.44	663377
32	91112	573458	13.71	664570
33	88806	591505	13.05	680311
34	87294	544958	13.81	632252
35	93641	588889	13.72	682530
36	88722	563654	13.60	652376
37	90763	609039	12.97	699802
38	92004	584823	13.59	676827
39	83707	559528	13.01	643235
40	94765	596134	13.72	690899
41	85261	595491	12.52	680752
42	87404	541424	13.90	628828
43	87860	544073	13.90	631933
44	79637	532099	13.02	611736
45	83611	564839	12.89	648450
46	83704	542760	13.36	626464
47	86314	534906	13.89	621220
48	86287	506924	14.55	593211
49	84267	530071	13.72	614338
50	74543	499967	12.98	574510
51	76177	520823	12.76	597000
52	79420	520659	13.23	600079
53	80561	538056	13.02	618617
54	81145	518455	13.53	599600
55	86297	562429	13.30	648726
56	80437	504372	13.75	584809
57	77151	527503	12.76	604654
58	82580	523239	13.63	605819
59	78780	494792	13.73	573572
60	76411	508761	13.06	585172
61	79515	514481	13.39	593996
62	74605	532295	12.29	606900
63	80282	539274	12.96	619556
64	77940	495684	13.59	573624
65	80744	507336	13.73	588080
66	73232	493664	12.92	566896
67	74680	486692	13.30	561372
68	80609	500712	13.87	581321
69	74918	524600	12.50	599518
70	73618	487957	13.11	561575
71	72056	467852	13.35	539908
72	72211	460807	13.55	533018
73	71430	464206	13.34	535636
74	75071	512395	12.78	587466
75	71848	473168	13.18	545016
76	70135	466224	13.08	536359
77	68836	453091	13.19	521927
78	71634	449967	13.73	521601
79	69605	475306	12.77	544911
80	66091	433363	13.23	499454
81	68200	450135	13.16	518335
82	67669	432028	13.54	499697
83	67741	462454	12.78	530195
84	67517	434340	13.45	501857
85	69317	439594	13.62	508911
86	68488	458237	13.00	526725
87	64949	484124	11.83	549073
88	65822	445563	12.87	511385
89	64648	486792	11.72	551440
90	66096	436553	13.15	502649
91	65934	428457	13.34	494391
92	66281	435475	13.21	501756
93	62204	407793	13.23	469997
94	63702	415106	13.30	478808
95	60406	397427	13.19	457833
96	61222	399073	13.30	460295
97	58771	395609	12.93	454380
98	41310	281741	12.79	323051
99	58808	409572	12.56	468380
100	57296	440418	11.51	497714

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	35930	165992	17.79	201922
2	143	8600	1.64	8743
3	151	13168	1.13	13319
4	4330	399059	1.07	403389
5	3086	317421	0.96	320507
6	3467	337834	1.02	341301
7	3760	410279	0.91	414039
8	4085	441292	0.92	445377
9	4215	446246	0.94	450461
10	4923	504720	0.97	509643
11	4339	447773	0.96	452112
12	3873	434909	0.88	438782
13	4173	469308	0.88	473481
14	3954	438129	0.89	442083
15	3999	460839	0.86	464838
16	4046	476347	0.84	480393
17	4218	476209	0.88	480427
18	4439	491919	0.89	496358
19	4286	473882	0.90	478168
20	3787	452947	0.83	456734
21	4532	512455	0.88	516987
22	4071	445490	0.91	449561
23	3758	431765	0.86	435523
