CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1480473	7080678	17.29	8561151
2	240	1044	18.69	1284
3	300	1653	15.36	1953
4	69147	498337	12.18	567484
5	59593	395987	13.08	455580
6	72936	430571	14.49	503507
7	72039	410088	14.94	482127
8	78258	493474	13.69	571732
9	80193	468639	14.61	548832
10	83538	497188	14.39	580726
11	77425	469595	14.15	547020
12	78085	490086	13.74	568171
13	84757	536278	13.65	621035
14	71069	463843	13.29	534912
15	75655	460729	14.10	536384
16	78806	494196	13.75	573002
17	74434	502474	12.90	576908
18	74707	468185	13.76	542892
19	78232	492601	13.70	570833
20	73019	463548	13.61	536567
21	74857	473793	13.64	548650
22	76223	467176	14.03	543399
23	72384	477578	13.16	549962
24	76204	462336	14.15	538540
25	78063	476071	14.09	554134
26	76753	467454	14.10	544207
27	76212	479877	13.71	556089
28	75947	502381	13.13	578328
29	78432	480832	14.02	559264
30	72607	489370	12.92	561977
31	74512	469273	13.70	543785
32	73945	461372	13.81	535317
33	72706	475111	13.27	547817
34	72533	444615	14.03	517148
35	77432	476711	13.97	554143
36	74310	456689	13.99	530999
37	75091	496174	13.14	571265
38	75379	467647	13.88	543026
39	69886	455120	13.31	525006
40	77389	478185	13.93	555574
41	69866	478774	12.73	548640
42	71260	438308	13.98	509568
43	72598	443132	14.08	515730
44	64863	429119	13.13	493982
45	68296	457186	13.00	525482
46	69031	439009	13.59	508040
47	70981	430387	14.16	501368
48	70696	412725	14.62	483421
49	69246	433351	13.78	502597
50	61524	407936	13.11	469460
51	61871	418797	12.87	480668
52	65971	423595	13.48	489566
53	64905	430495	13.10	495400
54	66966	413558	13.94	480524
55	70631	452145	13.51	522776
56	65399	406583	13.86	471982
57	63119	420981	13.04	484100
58	67499	420721	13.83	488220
59	64596	397373	13.98	461969
60	63557	409561	13.43	473118
61	64057	412713	13.44	476770
62	60633	430053	12.36	490686
63	65565	429156	13.25	494721
64	62344	396659	13.58	459003
65	65300	401058	14.00	466358
66	60513	397016	13.23	457529
67	61605	390969	13.61	452574
68	64373	402049	13.80	466422
69	60951	420473	12.66	481424
70	59404	395082	13.07	454486
71	58972	377913	13.50	436885
72	58774	369846	13.71	428620
73	58651	378766	13.41	437417
74	60237	408935	12.84	469172
75	57664	378921	13.21	436585
76	57857	373183	13.42	431040
77	55003	365220	13.09	420223
78	56979	358924	13.70	415903
79	56328	378957	12.94	435285
80	53245	345759	13.34	399004
81	54911	358307	13.29	413218
82	55000	349525	13.60	404525
83	55535	372503	12.97	428038
84	54671	346714	13.62	401385
85	54767	356080	13.33	410847
86	55220	364741	13.15	419961
87	52985	385368	12.09	438353
88	53092	354672	13.02	407764
89	52214	382170	12.02	434384
90	53921	351639	13.30	405560
91	53325	343762	13.43	397087
92	52798	349627	13.12	402425
93	50643	328516	13.36	379159
94	51192	331097	13.39	382289
95	48921	317158	13.36	366079
96	49768	321516	13.40	371284
97	46878	312667	13.04	359545
98	33228	226480	12.79	259708
99	47209	329135	12.54	376344
100	47463	357319	11.73	404782

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	29304	121748	19.40	151052
2	23	1133	1.99	1156
3	33	1733	1.87	1766
4	4033	360743	1.11	364776
5	2387	268294	0.88	270681
6	3169	304607	1.03	307776
7	2961	354033	0.83	356994
8	3167	358513	0.88	361680
9	3353	371080	0.90	374433
10	3703	415340	0.88	419043
11	3325	362028	0.91	365353
12	3100	357646	0.86	360746
13	3421	382502	0.89	385923
14	3161	352366	0.89	355527
15	3240	376035	0.85	379275
16	3102	389588	0.79	392690
17	3344	392319	0.85	395663
18	3537	399794	0.88	403331
19	3367	385846	0.87	389213
20	3173	369740	0.85	372913
21	3578	417037	0.85	420615
22	3391	364267	0.92	367658
23	3015	351916	0.85	354931
24	3127	374616	0.83	377743
25	3093	355047	0.86	358140
26	3637	390449	0.92	394086
27	3725	369180	1.00	372905
28	3174	367497	0.86	370671
29	3359	394244	0.84	397603
30	3281	398444	0.82	401725
31	3388	390629	0.86	394017
