CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1008069	4493182	18.32	5501251
2	801	2487	24.36	3288
3	838	4053	17.13	4891
4	45024	350946	11.37	395970
5	41367	258104	13.81	299471
6	56875	301571	15.87	358446
7	51629	278335	15.65	329964
8	58077	347447	14.32	405524
9	59018	308796	16.05	367814
10	63344	363884	14.83	427228
11	56329	318464	15.03	374793
12	59178	340691	14.80	399869
13	61840	390593	13.67	452433
14	52844	325095	13.98	377939
15	57753	325702	15.06	383455
16	56807	346971	14.07	403778
17	56919	353896	13.86	410815
18	54990	317437	14.77	372427
19	60384	351249	14.67	411633
20	56845	319265	15.11	376110
21	56910	350849	13.96	407759
22	56324	325759	14.74	382083
23	53377	321391	14.24	374768
24	56056	322851	14.79	378907
25	57814	326042	15.06	383856
26	56669	321168	15.00	377837
27	56650	330396	14.64	387046
28	56920	350081	13.99	407001
29	57307	337375	14.52	394682
30	52288	313559	14.29	365847
31	54732	325590	14.39	380322
32	56270	327013	14.68	383283
33	53141	314435	14.46	367576
34	53329	303016	14.97	356345
35	56360	324775	14.79	381135
36	53337	300445	15.08	353782
37	55393	333613	14.24	389006
38	56881	304999	15.72	361880
39	50801	312750	13.97	363551
40	58628	323583	15.34	382211
41	51353	313576	14.07	364929
42	52917	300978	14.95	353895
43	55487	307455	15.29	362942
44	48883	292597	14.32	341480
45	50201	302574	14.23	352775
46	51353	316393	13.96	367746
47	52302	309620	14.45	361922
48	52274	279431	15.76	331705
49	52555	300429	14.89	352984
50	46829	283109	14.19	329938
51	47678	291125	14.07	338803
52	47617	289821	14.11	337438
53	48168	282711	14.56	330879
54	49931	279191	15.17	329122
55	53730	293380	15.48	347110
56	48843	278659	14.91	327502
57	47937	308625	13.44	356562
58	50855	281807	15.29	332662
59	47260	268720	14.96	315980
60	48595	275485	14.99	324080
61	48586	282004	14.70	330590
62	45391	283988	13.78	329379
63	48801	281857	14.76	330658
64	47325	268637	14.98	315962
65	48925	282027	14.78	330952
66	45770	261698	14.89	307468
67	45098	270786	14.28	315884
68	48849	271481	15.25	320330
69	44024	287721	13.27	331745
70	43511	265937	14.06	309448
71	44900	254643	14.99	299543
72	43879	245452	15.17	289331
73	43554	248920	14.89	292474
74	45299	266083	14.55	311382
75	42680	259340	14.13	302020
76	43343	246465	14.96	289808
77	41657	246562	14.45	288219
78	43710	244203	15.18	287913
79	41920	258283	13.96	300203
80	40251	236129	14.56	276380
81	41454	249954	14.23	291408
82	41158	235758	14.86	276916
83	40895	255647	13.79	296542
84	41527	232956	15.13	274483
85	41960	238029	14.99	279989
86	41642	249497	14.30	291139
87	39996	239255	14.32	279251
88	40853	230967	15.03	271820
89	39214	242821	13.90	282035
90	40431	233612	14.75	274043
91	40871	231128	15.03	271999
92	40212	239683	14.37	279895
93	37383	218392	14.62	255775
94	40064	237075	14.46	277139
95	36437	214433	14.52	250870
96	38509	206408	15.72	244917
97	36121	217057	14.27	253178
98	25117	148238	14.49	173355
99	35920	229892	13.51	265812
100	35236	231656	13.20	266892

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	24648	90362	21.43	115010
2	124	3477	3.44	3601
3	100	3830	2.54	3930
4	2742	230289	1.18	233031
5	1793	182025	0.98	183818
6	2161	204986	1.04	207147
7	2488	236850	1.04	239338
8	2255	241568	0.92	243823
9	2527	249233	1.00	251760
10	2577	268307	0.95	270884
11	2494	244734	1.01	247228
12	2108	239706	0.87	241814
13	2409	260848	0.92	263257
14	2226	240876	0.92	243102
15	2374	261406	0.90	263780
16	2421	264014	0.91	266435
17	2293	263134	0.86	265427
18	2545	272901	0.92	275446
19	2408	263495	0.91	265903
20	2287	251210	0.90	253497
21	2462	259836	0.94	262298
22	2491	246003	1.00	248494
23	2146	238256	0.89	240402
24	2360	260214	0.90	262574
25	2172	237044	0.91	239216
26	2333	250519	0.92	252852
27	2528	243267	1.03	245795
28	2414	250674	0.95	253088
29	2261	249959	0.90	252220
30	2365	270027	0.87	272392
31	2641	271622	0.96	274263
32	2463	261540	0.93	264003
33	2246	263590	0.84	265836
34	2394	247837	0.96	250231
35	2235	241450	0.92	243685
36	2376	249639	0.94	252015
37	2628	273489	0.95	276117
38	2579	276438	0.92	279017
39	2338	262302	0.88	264640
40	2636	273267	0.96	275903
41	2306	242956	0.94	245262
42	2507	257647	0.96	260154
43	2421	263949	0.91	266370
44	2211	235141	0.93	237352
45	2705	254094	1.05	256799
46	2320	249604	0.92	251924
47	2360	244970	0.95	247330
48	3431	270653	1.25	274084
49	2128	234753	0.90	236881
50	2296	240165	0.95	242461
51	2165	231416	0.93	233581
52	2382	248194	0.95	250576
53	2434	239617	1.01	242051
54	2206	238444	0.92	240650
55	2272	249705	0.90	251977
56	2252	228090	0.98	230342
