CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	1660218	7668768	17.80	9328986
2	2523	9974	20.19	12497
3	2509	15251	14.13	17760
4	78352	533538	12.80	611890
5	70970	442267	13.83	513237
6	88145	487094	15.32	575239
7	79468	454216	14.89	533684
8	91597	551627	14.24	643224
9	94639	541008	14.89	635647
10	96557	566969	14.55	663526
11	90532	534956	14.47	625488
12	90108	540278	14.29	630386
13	98820	623209	13.69	722029
14	82897	545048	13.20	627945
15	89798	528141	14.53	617939
16	93071	578994	13.85	672065
17	86747	561865	13.37	648612
18	86349	530456	14.00	616805
19	92671	552809	14.36	645480
20	85491	531928	13.85	617419
21	88809	556320	13.77	645129
22	89774	543418	14.18	633192
23	83564	544934	13.30	628498
24	87641	530409	14.18	618050
25	91178	539000	14.47	630178
26	88655	543710	14.02	632365
27	87185	547866	13.73	635051
28	87976	559720	13.58	647696
29	88114	554660	13.71	642774
30	83215	575318	12.64	658533
31	85159	542757	13.56	627916
32	86270	536985	13.84	623255
33	84902	551383	13.34	636285
34	84686	514284	14.14	598970
35	87839	532571	14.16	620410
36	83542	517933	13.89	601475
37	85983	565563	13.20	651546
38	87937	547021	13.85	634958
39	80485	519675	13.41	600160
40	88136	534052	14.17	622188
41	81212	553266	12.80	634478
42	82773	502036	14.15	584809
43	85327	516414	14.18	601741
44	74744	490623	13.22	565367
45	79930	513030	13.48	592960
46	79724	514590	13.41	594314
47	82128	496064	14.20	578192
48	80386	466299	14.70	546685
49	79560	488444	14.01	568004
50	72706	463647	13.56	536353
51	71609	492645	12.69	564254
52	76480	473810	13.90	550290
53	75089	487100	13.36	562189
54	75763	473314	13.80	549077
55	81049	492317	14.14	573366
56	74588	459449	13.97	534037
57	73642	489073	13.09	562715
58	76991	479814	13.83	556805
59	72087	458908	13.58	530995
60	71909	463773	13.42	535682
61	74615	474971	13.58	549586
62	69459	472480	12.82	541939
63	74570	494838	13.10	569408
64	73328	442422	14.22	515750
65	73892	472095	13.53	545987
66	68623	437553	13.56	506176
67	69463	432975	13.83	502438
68	71635	452862	13.66	524497
69	69306	460728	13.08	530034
70	68630	436317	13.59	504947
71	66274	419175	13.65	485449
72	66391	410267	13.93	476658
73	65416	417335	13.55	482751
74	68305	448278	13.22	516583
75	64603	415377	13.46	479980
76	64131	406205	13.64	470336
77	60774	399861	13.19	460635
78	63324	397243	13.75	460567
79	63875	434495	12.82	498370
80	59735	385529	13.42	445264
81	61254	405159	13.13	466413
82	61304	377562	13.97	438866
83	60609	417003	12.69	477612
84	61967	381535	13.97	443502
85	61964	386443	13.82	448407
86	62411	402729	13.42	465140
87	59482	431674	12.11	491156
88	59830	378182	13.66	438012
89	57856	431387	11.83	489243
90	58956	378018	13.49	436974
91	59377	367755	13.90	427132
92	59601	373228	13.77	432829
93	55270	351640	13.58	406910
94	57041	365687	13.49	422728
95	52441	338845	13.40	391286
96	54121	337898	13.81	392019
97	51748	328630	13.60	380378
98	35846	234769	13.25	270615
99	51892	361096	12.57	412988
100	52343	389628	11.84	441971

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	37850	160672	19.07	198522
2	171	11751	1.43	11922
3	185	15388	1.19	15573
4	4419	396438	1.10	400857
5	2961	301959	0.97	304920
6	3284	336442	0.97	339726
7	3591	391425	0.91	395016
8	3938	410664	0.95	414602
9	4012	420325	0.95	424337
10	4480	460103	0.96	464583
11	4231	415529	1.01	419760
12	3724	410778	0.90	414502
13	3985	445410	0.89	449395
14	3646	402462	0.90	406108
15	3814	434543	0.87	438357
16	4004	430531	0.92	434535
17	3805	442323	0.85	446128
18	4300	464747	0.92	469047
19	3928	431593	0.90	435521
20	3627	420766	0.85	424393
21	4400	476598	0.91	480998
