File	Total Reads	Aligned Reads	Unaligned Reads	Ambiguously Aligned Reads	No Genomic Sequence	Duplicate Reads (removed)	Unique Reads (remaining)	Total Cs	Methylated CpGs	Unmethylated CpGs	Methylated CpHs	Unmethylated CpHs	Methylated CHHs	Unmethylated CHHs
OK-carcass-I_S38_L002_R1_001_trimmed_bismark_bt2.bam	28652713	11297320	12433763	4921630	5796			233668220	9528231	59016564	416455	41791691	1112279	121803000
OK-carcass-II_S39_L002_R1_001_trimmed_bismark_bt2.bam	36872238	14346297	16079229	6446712	7209			296615536	11296636	75507052	530598	53198298	1418129	154664823
OK-legs-I_S36_L002_R1_001_trimmed_bismark_bt2.bam	28564884	11153265	12732554	4679065	5886			233558906	9726858	59075727	412150	41940453	1077651	121326067
OK-legs-II_S37_L002_R1_001_trimmed_bismark_bt2.bam	23253145	9046487	10319082	3887576	4564			188400179	7828842	47791343	334927	33960168	874445	97610454
RI-carcass-I_S46_L002_R1_001_trimmed_bismark_bt2.bam	22697458	6815884	12190269	3691305	3983			144840816	5272335	37437784	265600	25494208	716849	75654040
RI-carcass-II_S47_L002_R1_001_trimmed_bismark_bt2.bam	36570356	12330419	18105125	6134812	6691			262272885	8736730	68851704	449201	46041244	1222763	136971243
RI-legs-I_S44_L002_R1_001_trimmed_bismark_bt2.bam	19725262	5924271	10643001	3157990	3309			126101670	5745359	32268218	241567	22772536	615503	64458487
RI-legs-II_S45_L002_R1_001_trimmed_bismark_bt2.bam	19126489	5741090	10276042	3109357	3352			121076155	4286185	31206909	222625	21706581	598447	63055408
TN-carcass-I_S42_L002_R1_001_trimmed_bismark_bt2.bam	29223069	10211880	13850433	5160756	5554			210995640	8931871	53580465	396088	38579881	1007525	108499810
TN-carcass-II_S43_L002_R1_001_trimmed_bismark_bt2.bam	29634262	10406070	13996395	5231797	5637			215852969	9129615	54872713	407237	39467135	1030448	110945821
TN-legs-I_S40_L002_R1_001_trimmed_bismark_bt2.bam	29655184	10525576	14160062	4969546	5745			220357361	8439715	56684008	393404	39818504	1025726	113996004
TN-legs-II_S41_L002_R1_001_trimmed_bismark_bt2.bam	22964578	8128214	10982646	3853718	4332			170130600	6597616	43708206	304887	30759639	794209	87966043
Undetermined_S0_L002_R1_001_trimmed_bismark_bt2.bam	62102826	2272043	58628648	1202135	1092			47608406	1795640	12130289	92079	8444838	459101	24686459
